Document ID,Title,Requirement,Status,Applies When,Evidence Line
event_safety_plan,행사 안전관리계획서,required,present,모든 MICE/옥외행사,1
crowd_flow_plan,인파·동선 관리계획,required,present,"전시장, 옥외축제, 공연, 대규모 또는 도로점용 행사",126
road_traffic_control_plan,도로·교통 실행계획,required,present,"도로점용, 교통통제, 옥외축제, 퍼레이드, 셔틀/주차/승하차 또는 행사장 외부 대기열이 있는 경우",489
venue_facility_plan,베뉴 시설·수용·하역·전기 제약 체크,required,present,전시장/컨벤션센터/공연장 등 베뉴 사용 또는 임시구조물 설치,559
unhosted_crowd_response_plan,무주최 다중운집 관계기관 공동대응계획,not_applicable,not_applicable,"주최자 없음, 자발적 군중, 역세권·광장·상권 등 관리주체가 나뉘는 다중운집",557
worker_safety_plan,설치·철거 작업자 안전계획서,required,present,"설치·철거, 임시구조물, 임시전기, 고소, 중량물, 화기작업",217
performance_stage_execution_plan,공연·무대 실행계획,required,present,"공연, 야외 무대, 스탠딩 관객, 무대·트러스·음향·조명 운영",618
fire_evacuation_checklist,소방·피난 점검표,required,present,"모든 행사. 특히 실내 베뉴, 대규모, 공연, 식음료, 임시구조물",126
food_lpg_checklist,식음료/LPG 점검표,not_applicable,not_applicable,"식음료, 시식, 푸드트럭, 케이터링, LPG/가스 사용",719
privacy_cctv_checklist,개인정보/CCTV 점검표,conditional,present,"등록, QR/출입증, CCTV, 촬영, 앱 신고, 컨벤션/VIP",723
security_access_plan,출입통제·보안검색·VIP 동선 계획,conditional,present,"VIP/보안검색/민간경비, 대규모 공연·컨벤션",731
medical_response_plan,응급의료·AED·구급 이송 계획,required,present,"대규모, 옥외, 공연, 식음료, 야간/우천/폭염 등 위험 조건",224
staff_assignment,스태프 배치표,required,present,모든 운영 행사,772
emergency_contacts,비상연락망,required,present,모든 운영 행사,615
daily_safety_checklist,일일 안전점검표,required,present,모든 운영 행사,67
operations_runsheet,현장 운영 런시트,required,present,"방문객 운영이 있는 모든 행사. 개장 전, 운영 중, 피크, 폐장, 철거 단계별 실행 확인용",807
submission_checklist,제출·협의 체크리스트,required,present,모든 행사. 관할기관·베뉴·협력사 확인용,845
incident_report_template,사고보고서 템플릿,required,present,모든 운영 행사,287
visitor_safety_notices,다국어 방문객 안전 안내문,required,present,방문객이 있는 모든 행사. 대규모/옥외/국제행사는 필수에 가깝게 검토,875
